,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj
0,Gnai3,-0.298461751745924,0.1065953266297676,0.4890089943317435
1,Pbsn,,,
2,Cdc45,-0.183749811975736,0.5519132266723712,0.8866780359299679
3,H19,-4.634976185334009,0.0002651137525509,0.008237233952747
4,Scml2,-0.0683271213720869,0.9467047573564528,
5,Apoh,-0.9599977791574664,0.8282856423440546,
6,Narf,0.0161076232126956,0.9356954159706352,0.9875156440800288
7,Cav2,0.4961556265712151,0.0044738031078721,0.0699291791882576
8,Klf6,0.105403994743357,0.6192148610898003,0.9104250807293852
9,Scmh1,0.1569042769960734,0.4024034598271272,0.8158148764189231
10,Cox5a,0.6902352121582397,0.1164165203032182,0.5115488656394801
11,Tbx2,-0.0497615253182448,0.9616729186496904,0.9946717541075362
12,Tbx4,0.4679089445861975,0.0621148519123539,0.371459830353623
13,Zfy2,,,
14,Ngfr,0.8290100932734729,0.3181546040884616,
15,Wnt3,0.5497033995874422,0.7603341948311315,
16,Wnt9a,-0.6234773160680505,0.3455233905368805,0.7795442196734957
17,Fer,0.1491365953939964,0.4460556966878474,0.8414004312685087
18,Xpo6,-0.0325147767839874,0.8622146668842259,0.9746852031666212
19,Tfe3,-0.0757516354323732,0.6730682424636681,0.9258831888138228
20,Axin2,0.8205240301502142,0.0002934676814361,0.008920375618566
21,Brat1,0.5271081011506817,0.0494295310861609,0.3280613710460059
22,Gna12,-0.3355598273431413,0.1006508032855255,0.472653392173707
23,Slc22a18,0.6633205488881321,0.245968244973767,0.6998378365867701
24,Itgb2l,0.3109368081790005,0.452081325782913,0.8436130470818543
25,Igsf5,0.4875675257259139,0.0297809022619605,0.2427041167419746
26,Pih1d2,0.804846899997629,0.0893295592875182,0.4470468198098274
27,Dlat,-0.2241890006267088,0.2533589768453189,0.7049191441634474
28,Sdhd,-0.0511110380434256,0.7769655502089866,0.9536410460422567
29,Fgf23,-0.9599977791574656,0.8282856423440548,
30,Fgf6,,,
31,Ccnd2,-0.4793019641259028,0.0163843023158457,0.169803956280766
32,Gpr107,0.1567877674079281,0.4263570673921196,0.8316332187424671
33,Nalcn,-0.7754052768661783,0.4935382858774764,
34,Btbd17,3.45168225083872,0.2759430746992485,
35,Slfn4,-2.356791214919013,0.0241143283518851,0.2149547219216961
36,Th,-0.67537903412512,0.6494798569875178,
37,Ins2,2.308812063139761,0.5905404507013632,
38,Scnn1g,,,
39,Drp2,0.0706739473218785,0.9779023448716888,
40,Tspan32,-0.3809984603841286,0.5814213714211354,0.8971948287745185
41,Lhx2,-0.0525628368283579,0.980384535333709,
42,Clec2g,-0.0458738518351069,0.9858590951391054,
43,Gmpr,-0.1387386568648231,0.6616705503754781,0.9225209391266828
44,Glra1,0.2730482730320349,0.6545504761344038,0.9210443195496072
45,Mid2,0.1824672706977354,0.3614013544819865,0.7902321614531631
46,Trim25,0.1017456442315673,0.7248694342594426,0.9404759885513764
47,Dgke,0.2438110817069045,0.188963870393847,0.630602470038886
48,Scpep1,-0.6083943051822334,0.0113397976000146,0.1337089677228962
49,Mnt,-0.0348056966884887,0.9046381453266088,0.9811653499632886
50,Itgb2,0.391850996180197,0.5064443001064342,0.866596106718671
51,Hddc2,0.2821060670606791,0.330102705370742,0.7697242700095683
52,Tpd52l1,1.03775855517009,0.0015966149215283,0.0326354072464778
53,Pemt,-1.3608599485442912,0.0592255237536575,0.3626032337235822
54,Cdh1,-0.680407743247614,0.3314416235407073,0.7704336643665395
55,Cdh4,-1.037501858807503,0.4588083495164535,0.8466273751743126
56,Ckmt1,-0.9599977791574656,0.8282856423440548,
57,Bcl6b,-0.5279637068810317,0.0132833293535651,0.1488795553947581
58,Clec10a,0.6020488563723256,0.7235833629439521,
59,Alox12,0.9886587679555456,4.4483599212542765e-05,0.0020900510593429
61,Comt,0.0501932186229231,0.8109679091814255,0.9627042403631912
62,Rtca,-0.2867638067720936,0.2797350846799732,0.7283320476437012
63,Dbt,-0.5393136237749726,0.0353622832498157,0.2703215015689042
64,Dazap2,0.0753231464176974,0.6606539948197906,0.9222142676406008
65,Mcts1,-0.2451877610338247,0.458824009795177,0.8466273751743126
66,Rem1,-0.1339205908149421,0.909719772207437,0.9821239374352508
67,Rnf17,0.1240623781957887,0.9406263128416812,
68,Trappc10,-0.0437079647007851,0.8367054022592113,0.9691768043451694
69,Ccm2,0.0598461036568344,0.7562854732113733,0.9494994887598828
70,Wap,0.5697782169735062,0.6240762417672183,
71,Tbrg4,-0.30993350110814,0.1656718702993938,0.5962098127782982
72,Tmprss2,0.1581900184789256,0.7303969424427685,0.942094683627846
73,Mx1,0.0931445568414627,0.911368978646678,
74,Fap,-0.3840728677526721,0.4824234478529769,0.8579488186015632
75,Gcg,2.857534342190524,0.470797141799813,
76,Ndufa9,0.0362120056145947,0.878538481774026,0.9774858524741544
77,Egfl6,-2.4217566316393517,0.5395484286158778,
78,Lck,0.5429505101831263,0.5467037549081617,
79,Tssk3,-0.0896645919991412,0.9297322774927804,
80,Cttnbp2,0.150536559313032,0.4972351272909885,0.8633079376804527
81,Galnt1,-1.126675838362184,1.592572459256865e-06,0.0001386617749695
82,Myf5,-0.9599977791574656,0.8282856423440548,
83,Mkrn2,0.0668313653168443,0.7575503338539209,0.9501619676759282
84,Pparg,1.614488533057357,0.039864660854523,0.290337565420158
85,Raf1,0.092705552225414,0.5753754648977718,0.8951000175070858
86,Septin1,0.4919531271012657,0.2818698074430893,0.7311307480993106
87,Pdgfb,0.335728839228302,0.0817871396697317,0.4271167771773079
88,Acvrl1,0.1402429734568085,0.4089645740614386,0.8191801940147252
89,Tamalin,0.7168353334735156,0.005894001004767,0.083716543303654
90,Acvr1b,0.0407735095917649,0.9141797456530704,0.9832105562327772
91,Tom1l2,0.2563822723906407,0.2195014260743736,0.6700827662278751
92,Gpa33,1.7657592062090537,0.5868875248204497,
93,Zfp385a,-0.3858574530447201,0.3969842193685852,0.8118264072039897
94,Itga5,-0.7741947481079022,1.3209068859408467e-05,0.0007595707469863
95,Gabra2,0.9635763729606592,0.8276551787794901,
96,Wdr77,-0.5253384809545888,0.052826697811344,0.3414503606572026
97,Adora3,-0.3848475792551207,0.7708519839441835,
98,Atp5pb,0.1222120744262174,0.5246918355870392,0.8754900257938352
99,Sox9,0.9297860387568,0.0032515958764558,0.0561775157534325
100,Hnrnpd,-0.1050988179092875,0.5832733660892856,0.8975711417071568
101,Dynlt1c,,,
102,C1d,0.0661588817573985,0.7614507009572886,0.9506516173889866
103,Gm2a,0.547702295895277,0.0253324651854518,0.2213144109824251
104,Krit1,-0.046621198471818,0.8142805284620975,0.964200538928676
105,Clcn4,-0.2093647302597754,0.3434518552106761,0.7789457749303502
106,Vmn2r88,,,
107,Grm6,-4.198720765786102,0.1117326393223053,
108,Sema4f,-0.9646068885421424,0.7968701975633721,
109,Hk2,-0.2704639894625591,0.6831283198716117,0.929870023078382
110,Myo18a,0.0113937173528302,0.9606132396114456,0.9946717541075362
111,Sez6,2.1765848461701456,0.2064187129279069,
112,Haao,0.5680142514753538,0.7001357130284729,
113,Cd52,-0.3077100208338085,0.6485237184022639,0.9180884840078836
114,Abhd15,0.2481280984976287,0.6585394001038588,0.9220264455081328
115,Hoxb6,,,
116,Loxl3,-0.8213165904026907,0.42544569413199,0.8309760757165489
117,Tcl1b5,,,
119,Btn1a1,1.6148221876673017,0.6240965318181529,
120,Kat2b,0.1161025235206747,0.5275035068799461,0.8768015082728366
121,Rab5b,0.3444896804438819,0.0481583778947823,0.323589317124171
122,Cryba1,-0.3324106984721461,0.440994948808933,0.8385894174205368
123,Dnmt3l,3.442464765531555,0.3271734903640999,
124,Aire,1.730031910717953,0.6898139449120235,
125,Icosl,-0.6641804573317269,0.0029491425662016,0.0528999556822643
126,Spg7,0.1696844679347747,0.4687507034599493,0.8510741153418094
127,Sult5a1,2.078925632853106,0.0245142002428311,
128,Rpl13,0.3147237601261514,0.2422142456933473,0.6957621137707691
129,Chmp1a,0.3051908372329252,0.1476847938528247,0.5668668388707053
130,Rpa1,0.1200226475953178,0.6553127309335628,0.9212191840814554
131,Serpinf1,-0.6058407890326164,0.091715267046101,0.4531324091347835
132,Tubgcp3,0.2136714561381142,0.2387498778557139,0.6918718254295613
133,Oprm1,-1.705004093555627,0.518727292781733,
134,Polr3d,-0.8044811326855872,0.0002498031785761,0.0078887639037655
135,Tcf7,0.3327961624794213,0.1293757046743019,0.5355747017227647
136,Ddx3x,0.0353937483162704,0.8287685453698286,0.967403035120866
137,Il12rb1,-3.840625614754519,0.1648650904201479,
138,Slc5a5,-0.6674811351581689,0.5536197482998351,0.8876029323644004
139,Kcnn3,1.376753057614477,0.3878066696648903,
140,Usp32,0.1075105905322363,0.5739981788365529,0.8949136434573796
141,Car4,1.101983015851184,2.3805714633199517e-07,3.007130067313424e-05
142,Txnrd3,-0.119752507530814,0.6844829225934923,0.929870023078382
143,Fasl,-0.1530573550017936,0.8992817606714811,
144,Zfp512b,0.4207990324615452,0.0998050016269063,0.4709414819572119
145,Dnajc5,-0.079623090723254,0.6387654197005057,0.9146646212693532
146,Tpd52l2,-0.4658830124725393,0.0053886140732029,0.0793037389250625
147,Fmr1,-0.0697420878602485,0.768878484309197,0.9516654342373332
148,Bcl11a,1.6159721934122422,0.2700201970776585,
149,Il4,-3.120130778256612,0.0611134907847302,
150,Pxmp4,0.3080874175876391,0.1441394556017108,0.560518079807713
151,Dlg3,-0.1941097176579186,0.6168327061507606,0.9101885134516824
152,Gnb1l,-0.0487577633195571,0.9233776481179798,0.9856738197095094
153,Dbh,-1.8824308494127904,7.330304282472469e-08,1.0459936971961408e-05
154,Mmp11,-1.0634996060096142,0.0330170608267235,0.2592083160471916
155,Smarcb1,-0.2806437771542146,0.1923406030230171,0.635002998844407
156,Vpreb3,-0.3632009169970805,0.7963728920122923,
157,Hip1r,0.4981537929187704,0.0118264840787296,0.1377457681616721
158,Nsun5,-0.2244639338260554,0.4951628656585316,0.8624717243356803
159,Top1mt,0.1199831648769702,0.7965223571897228,0.959112958242754
160,Hoxa10,,,
161,Hoxa4,,,
162,Gm38393,0.5086110366541224,0.2405670695584387,0.6939397820346717
163,Mmp14,-1.8593480978594152,3.2164918493355504e-06,0.0002394654873918
164,Slc7a7,-0.3405161511621455,0.2266706495162896,0.6770654583149153
165,Oxa1l,0.0972435516280924,0.6114975537226375,0.9074423495830108
166,Heatr6,-0.0888194447092894,0.6691653369372382,0.9238728537092736
167,Ccl3,-0.1218851704814814,0.9004835279809343,0.9805236804715736
168,Wfdc18,,,
169,Icam4,,,
170,Ilf2,-0.2170304438357136,0.284694280160779,0.7330965188429635
171,Chtop,0.0283788525696105,0.8536871411971688,0.973161663805723
172,Snapin,0.3978080611118316,0.016272842023248,0.1693320516004561
173,S100a4,0.3109304220702625,0.6289593144205279,0.9125599990593458
174,S100a3,-0.9599977791574664,0.8282856423440546,
175,S100a5,-1.9286264254935712,0.6551008490316961,
176,S100a6,-3.3388884814741613,3.484043108210281e-33,1.3423147085157158e-29
177,Scn4a,0.1751100220329607,0.7653255445505205,0.9506516173889866
178,Icam2,0.2412050570336661,0.263591233617313,0.7137194324333285
179,Mapk7,-0.0068695844811071,0.9711087547248608,0.9958637242169384
180,Epn2,0.3923282590771781,0.0289274887735785,0.2401947895956997
181,B9d1,-0.080761188179192,0.7864605712930411,0.956939593531231
182,Sec24b,-0.2308611768043494,0.2244199153510662,0.675598026384011
183,N4bp3,-0.2943476287467442,0.1937554995829657,0.6366518939793093
184,Rmnd5b,-0.245452087883244,0.236850964117351,0.689453067344914
185,Nhp2,-0.4907666996769281,0.0637349985931731,0.3769339056466455
186,Vps9d1,-0.0414689199110847,0.872192009774392,0.9762217406322802
187,Zfp276,0.3860397007885179,0.1582875964521721,0.5855425225454693
188,C1ql4,,,
189,Mfsd10,-0.3685596888780184,0.253141272064481,0.7049191441634474
190,Luzp1,-0.0485573373574961,0.7641398161342163,0.9506516173889866
191,Slc13a2,,,
192,Kctd10,0.3202388855982124,0.0741503448132864,0.4084099227725364
193,Poldip2,-0.0656069439126098,0.76436105161514,0.9506516173889866
194,Sebox,-0.572543975587102,0.5592644160638509,0.890847574461798
195,Ift20,-0.0203815601014834,0.9151066520860628,0.9833780313216808
196,Col6a1,-1.705213533895216,3.3713007244728425e-05,0.001675971466608
197,Pcbp3,-0.0455648287530138,0.8699325719245281,0.9757065668848576
198,Lgals9,0.0143186707946552,0.930426956653398,0.9869189395021918
199,Araf,0.2442286641178632,0.1622659801348719,0.5906123827435896
200,Cfp,-0.1635297198349292,0.7131292489034309,0.9367124838201292
201,Timp1,-4.059285552358529,3.0421355334821707e-15,3.8040983200779415e-12
202,Uxt,-0.2145233525195111,0.5643295779747528,0.892241904664441
203,Cnnm3,0.3260296656067548,0.1292079963624426,0.5354668395242436
