gene,np_score
S100a6,0.01
Col1a1,0.0101273312668931
Cd44,0.0102479438302385
Fblim1,0.01
Kif11,0.010000000000009
Aldh1a2,0.01
Hmmr,0.0100751516363723
Upp1,0.01
Itgb3,0.0103031931760734
Top2a,0.010000000000083
Vcan,0.0100751516363723
Pbk,0.0100000000000092
Cyp1b1,0.01
Col3a1,0.0102495953150198
Selp,0.0100752630099292
Sele,0.0100752630099292
Cenpf,0.010000000000009
Col5a1,0.0102495953150198
Ccna2,0.010000000000011
Col1a2,0.0103247469513922
Mki67,0.0100010316586401
Cdh13,0.0100003479201921
Thy1,0.0100763820354555
Ptgs2,0.0100009247407719
Aspm,0.010000000000009
Cd276,0.0100000559310439
Anln,0.01
Inhbb,0.0100032732557352
Cenpe,0.010000000000009
Ch25h,0.0100000000291705
Cd14,0.0100000029136241
