Gene,TBI Acute vs AControl Log2 fold change,TBI Subacute vs SControl Log2 fold change,TBI Chronic vs CControl Log2 fold change,TBI  Acute Avg,TBI  Subacute Avg,TBI Chronic Avg,Acute pval,Subacute pval,Chronic pval
mt-Rnr2,0.049,0.044,-0.154,233243.5,271015.5,213994.8,0.5024766229414639,0.8153402864177093,0.37204638806716955
mt-Rnr1,0.164,-0.257,-0.533,102450.5,115280.1,85386.9,0.6634179059505161,0.5626667112096059,0.10352323727866032
Malat1,-0.359,-0.048,0.452,6310.1,4139.3,7283.3,0.1529114187805065,0.9113220888231903,0.06422449025971173
Spock2,-1.139,-0.146,0.189,1686.6,2998.7,4184.2,0.02072405156766834,0.7567922342655761,0.2964472803341404
Flt1,0.042,0.018,0.192,3849.4,2852.5,4961.4,0.5061509249467762,0.962474237896554,0.2668008181029953
Spnb2,-0.075,0.367,0.183,4494.9,4542.3,5890.4,0.38561246874278743,0.4093312604451592,0.41110249491666284
mmu-mir-689-2,-0.858,-1.266,-0.304,1915.3,2792.0,3701.3,0.059643759095105844,0.15237944253442762,0.440934995097442
mt-Co1,0.225,-0.003,0.073,9010.8,7526.2,7555.9,0.7406362466102008,0.9873783330747324,0.3092870636091448
Fosb,-0.26,0.015,-0.302,410.8,791.9,1206.4,0.42675588000330533,0.98626440098637,0.4642568993924736
Epas1,-0.587,0.377,-0.193,695.0,1401.9,1247.8,0.15308507091835957,0.3959609199817732,0.6929050219159685
Ptprb,-0.471,0.468,0.086,1887.2,2630.3,2739.8,0.11331188556110497,0.23079739410771935,0.6384864601236571
Egr1,-0.351,-0.038,-0.323,614.4,1555.8,1653.0,0.3469215120121382,0.9680037952603716,0.49856719449516024
Cxcl12,-1.367,-0.162,0.221,560.3,1072.3,1860.3,0.011928633552377636,0.6556882719615751,0.33663138334200793
Slc6a6,-0.746,0.322,-0.07,1201.3,1861.6,2811.6,0.08764945982795891,0.3558796244870168,0.7825878252082976
Gpr116,-0.409,0.134,0.173,2076.0,2051.7,3007.1,0.12266117699018482,0.7455978109138384,0.2789484295037859
9430020K01Rik,-0.352,0.143,0.193,2083.2,2256.6,3276.1,0.1610169086100279,0.7718633294345484,0.34225350679731215
Bsg,-0.939,-0.628,0.146,3353.3,5072.8,4771.4,0.015373008704030867,0.033123058156724505,0.5662142342257492
Slc2a1,-0.335,-0.186,0.008,3464.7,2867.2,4194.3,0.16704127137883834,0.7200882729537883,0.9457867533983585
Slco1a4,-1.003,-0.481,0.263,1486.8,1672.3,2628.8,0.011615408853785295,0.13201551604512554,0.17345004770370212
Abhd2,0.04,0.392,0.131,1991.7,2223.0,2687.2,0.5293254491172896,0.44071501976432137,0.5198445742395429
Jun,-0.622,-0.074,-0.071,497.6,913.7,1217.8,0.0948170281969649,0.8959192488927215,0.8313624687916183
Zfp36,-0.674,-0.263,-0.136,523.0,1092.8,1481.8,0.13496676330137006,0.6787930288743536,0.650232695443541
Actb,0.0,-0.222,0.126,1869.7,1583.5,2143.2,0.4471172390015691,0.3747657252825192,0.5722111527859972
Ahnak,0.081,0.43,0.061,1933.4,1712.7,2156.3,0.5689107006406853,0.4420442741353721,0.8225190958403282
Hiat1,-0.06,-0.081,0.168,128.1,99.1,117.4,0.3705643133238231,0.8258069506965061,0.22786485610549795
Macf1,-0.261,0.487,0.338,1145.4,1276.3,1600.7,0.20116914346287157,0.2579734177975823,0.06826104419420659
Dusp1,-0.793,-0.585,-0.181,1534.2,2051.1,3556.0,0.03455272964075595,0.2158129246208117,0.38990282859911346
Utrn,-0.404,0.333,0.209,866.5,1025.1,1486.2,0.14611979197107045,0.4190513340330726,0.3783537596391867
Abcb1a,-0.498,0.257,0.335,662.9,781.1,1155.6,0.10000765940366345,0.3490654977829733,0.12531541683226563
Fn1,0.413,1.123,0.284,3108.5,3219.5,1998.3,0.9974880731642706,0.10409322109500363,0.2763801747435786
Slc39a10,-0.543,0.21,0.436,1367.0,1577.2,2053.4,0.0693370157139395,0.49643757158926016,0.05773589067675199
mt-Cytb,0.209,0.02,-0.121,2619.0,2181.5,2035.6,0.7267328174757433,0.910922777761048,0.2984375893786353
Ly6e,-0.541,-0.157,0.115,869.7,1205.2,1116.3,0.07733845370710543,0.03626177964189051,0.5379078359242768
Slc7a5,-0.766,-0.022,0.169,930.8,1179.9,1098.8,0.026132716068922517,0.9535855850950538,0.28424873398353134
Lars2,-0.882,-1.597,-0.152,1635.1,2013.0,4190.9,0.04389621742937913,0.161284416769506,0.7597381683773735
Podxl,0.162,0.4,0.205,651.2,689.0,779.2,0.695201122940057,0.17622029025168887,0.3098054971009263
Sparc,0.412,0.045,-0.143,7022.5,5641.6,3521.4,0.9961763827897381,0.7980428315823337,0.4587654442797629
Tjp1,-0.163,0.595,0.35,1127.7,1248.6,1281.7,0.2790727991531691,0.10066137989335797,0.1441972995688195
Tns1,-0.254,0.117,0.124,559.9,598.7,909.6,0.25433611058891964,0.7048833549012734,0.5367426150412683
Sgms1,-0.544,-0.222,0.208,701.4,721.1,1182.7,0.06800855139265798,0.5170326711834482,0.016641485584051707
Eltd1,0.191,0.22,0.233,1754.9,1260.6,1217.9,0.6989856634303443,0.5772817567135978,0.018285541036444013
Fos,-0.401,0.023,-0.178,576.3,1351.4,1605.4,0.3580981397312198,0.9780391700036764,0.727428813650618
Sparcl1,-0.247,0.524,0.314,1234.3,1733.2,1379.6,0.20201139114883576,0.05490817643131937,0.06707834963413493
