gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj
ENSMUSG00000000001,-0.2730190317642736,0.1405425581290403,0.507674443209659
ENSMUSG00000000003,,,
ENSMUSG00000000028,-0.062119885040472125,0.8061529792536801,0.9501602489145354
ENSMUSG00000000031,-5.061059804691074,4.206555068093359e-05,0.0016308693524293
ENSMUSG00000000037,0.04098573185032375,0.9588652378521118,
ENSMUSG00000000049,-0.9504705610533655,0.8299662066911748,
ENSMUSG00000000056,0.0290686924895001,0.8834535704593488,0.9722266703885601
ENSMUSG00000000058,0.5245883281007135,0.002861873698236882,0.04316246657370294
ENSMUSG00000000078,0.12452235368760181,0.5610190952183182,0.8678059696646447
ENSMUSG00000000085,0.14730152654775652,0.43047976335764304,0.7999745250846536
ENSMUSG00000000088,0.24028243223740908,0.281804989338279,0.6866511717305567
ENSMUSG00000000093,-0.11873432554974662,0.9108491476600682,0.9813918308552241
ENSMUSG00000000094,0.5856986629973893,0.013468424693320342,0.1291255719786598
ENSMUSG00000000103,,,
ENSMUSG00000000120,0.9716654658384426,0.2627228477475758,
ENSMUSG00000000125,0.715746248154254,0.6936246700535057,
ENSMUSG00000000126,-0.5008517671207571,0.46574089172259014,0.8206381600521544
ENSMUSG00000000127,0.10152522775421162,0.536255197895015,0.8570803287731863
ENSMUSG00000000131,-0.0614488326193154,0.715293580526099,0.9237721797508294
ENSMUSG00000000134,-0.053546423140864816,0.7567712180956511,0.9341234728376699
ENSMUSG00000000142,0.7896457793000167,0.00022503219191994785,0.006284736490407013
ENSMUSG00000000148,0.6029253982788126,0.02127467564825753,0.17423063083556362
ENSMUSG00000000149,-0.30732420520596937,0.12915783999226277,0.4880123282825527
ENSMUSG00000000154,0.5883546551441856,0.19116169776716274,0.5877675177548517
ENSMUSG00000000157,0.3144543123201189,0.4545356309497074,0.8146681319484383
ENSMUSG00000000159,0.4364846550387857,0.0489947117052706,0.2924635798309981
ENSMUSG00000000167,0.6914292512361443,0.13336455862763805,0.4953061812882666
