gene,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
ENSMUSG00000000001,-0.12308315728066244,0.3826025720066296,0.9999543473702648
ENSMUSG00000000003,,,
ENSMUSG00000000028,0.3817686637980288,0.14887868261263304,0.9999543473702648
ENSMUSG00000000031,-2.9503331388864953,0.4412636073412214,0.9999543473702648
ENSMUSG00000000037,1.0887919068694112,0.4420967007428669,0.9999543473702648
ENSMUSG00000000049,-1.5668918297567054,0.7498068959138317,0.9999543473702648
ENSMUSG00000000056,-0.06079626343658327,0.6940331519585454,0.9999543473702648
ENSMUSG00000000058,-0.11956975378594949,0.344486401826116,0.9999543473702648
ENSMUSG00000000078,0.11053934753015227,0.5208945818169345,0.9999543473702648
ENSMUSG00000000085,0.005570824730013511,0.9676336921878846,0.9999543473702648
ENSMUSG00000000088,0.016817208265142984,0.9369754325681574,0.9999543473702648
ENSMUSG00000000093,0.6464070505785862,0.0139606054043151,0.9999543473702648
ENSMUSG00000000094,-0.14604252780777738,0.5195832706996172,0.9999543473702648
ENSMUSG00000000103,,,
ENSMUSG00000000120,2.398113567201341,0.036572958226529874,0.9999543473702648
ENSMUSG00000000125,-2.2653514946983218,0.35485025061871345,0.9999543473702648
ENSMUSG00000000126,-0.6046848442811894,0.4569127657253328,0.9999543473702648
ENSMUSG00000000127,-0.12173910166137551,0.39140029759688466,0.9999543473702648
ENSMUSG00000000131,-0.21438962518712198,0.1554614114735044,0.9999543473702648
ENSMUSG00000000134,-0.2923213101999917,0.05859611961831106,0.9999543473702648
ENSMUSG00000000142,-0.005703369763861056,0.9687518281930655,0.9999543473702648
ENSMUSG00000000148,-0.4439363833723632,0.15005059726447995,0.9999543473702648
ENSMUSG00000000149,-0.020623606999878856,0.9043159449834467,0.9999543473702648
ENSMUSG00000000154,-0.4909971791060986,0.2536695915646575,0.9999543473702648
ENSMUSG00000000157,0.13591066145395325,0.8225986617328472,0.9999543473702648
ENSMUSG00000000159,0.08001223444236696,0.6992626325686044,0.9999543473702648
ENSMUSG00000000167,0.31766746674281154,0.5404432175166116,0.9999543473702648
ENSMUSG00000000168,0.06995438477732219,0.6592077724743135,0.9999543473702648
ENSMUSG00000000171,0.16436820297990687,0.3742321101954268,0.9999543473702648
ENSMUSG00000000182,3.5419196491886655,0.33922985834064767,0.9999543473702648
ENSMUSG00000000183,,,
ENSMUSG00000000184,0.04478905447275938,0.7839431827267456,0.9999543473702648
ENSMUSG00000000194,-0.03278147509787032,0.8210991327975503,0.9999543473702648
ENSMUSG00000000197,-0.18125098616044863,0.8546123613224934,0.9999543473702648
ENSMUSG00000000202,,,
ENSMUSG00000000204,-2.0786411799209064,0.18302228616701433,0.9999543473702648
ENSMUSG00000000214,-0.21493110756227804,0.9147677863701622,0.9999543473702648
ENSMUSG00000000215,3.2797814090483044,0.40524304384771437,0.9999543473702648
ENSMUSG00000000216,,,
ENSMUSG00000000223,-1.36026545597964,0.5247095718642927,0.9999543473702648
ENSMUSG00000000244,-0.24906475046468682,0.7525796186803011,0.9999543473702648
ENSMUSG00000000247,0.1461906923543812,0.9490658972881767,0.9999543473702648
ENSMUSG00000000248,-1.1874062690557259,0.6932200886714908,0.9999543473702648
ENSMUSG00000000253,-0.06720207517521075,0.8232679439115086,0.9999543473702648
ENSMUSG00000000263,0.8012503140200071,0.1782668299098511,0.9999543473702648
ENSMUSG00000000266,-0.008350415943464261,0.9568607104766216,0.9999543473702648
ENSMUSG00000000275,0.07063940753370412,0.7030654944462423,0.9999543473702648
ENSMUSG00000000276,-0.10310343362075848,0.46484571754012627,0.9999543473702648
ENSMUSG00000000278,-0.014650584664974672,0.9367363439727674,0.9999543473702648
ENSMUSG00000000282,0.15138687664091288,0.41310021032078825,0.9999543473702648
ENSMUSG00000000290,-0.6707227888171386,0.16199626324528293,0.9999543473702648
ENSMUSG00000000295,-0.006716579595170333,0.9803431255427983,0.9999543473702648
