gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj
ENSMUSG00000000001,-0.04906152018384265,0.7860523424075334,0.9652350014512701
ENSMUSG00000000003,,,
ENSMUSG00000000028,-0.26513164337693823,0.43785021809802604,0.863043745669535
ENSMUSG00000000031,-6.411732107887123,3.519938771851343e-05,0.0028099882796708345
ENSMUSG00000000037,-0.8326135994169078,0.44606414035778463,
ENSMUSG00000000049,3.2619255766375557,0.480015552908712,
ENSMUSG00000000056,-0.019680142829682414,0.9285075661356738,0.988333936653731
ENSMUSG00000000058,0.2825391541646469,0.15870178639917076,0.6508461671603814
ENSMUSG00000000078,0.07485895691086841,0.6837252040453246,0.9413383758267972
ENSMUSG00000000085,-0.33364299746929915,0.07309098127369744,0.4898101584529568
ENSMUSG00000000088,0.5225668867325804,0.031839988757438195,0.33648952778013697
ENSMUSG00000000093,-0.34023310628277387,0.38310224936451176,0.8396265843988812
ENSMUSG00000000094,0.24164049234239102,0.42508302371135787,0.859229262174933
ENSMUSG00000000103,,,
ENSMUSG00000000120,-0.26018284306852274,0.7936907037610971,
ENSMUSG00000000125,-0.3091522021874853,0.8482681789279126,
ENSMUSG00000000126,-0.2530011515416214,0.7702446774309772,0.9634732710729196
ENSMUSG00000000127,0.046341401030218624,0.816258279821935,0.9705053546474104
ENSMUSG00000000131,-0.549606935255005,0.0037278190969419847,0.09061515671751323
ENSMUSG00000000134,-0.21084565185950152,0.33496438789172156,0.8103820037512007
ENSMUSG00000000142,0.15533803074093105,0.5315462142274525,0.8970034242403666
ENSMUSG00000000148,0.17629673489711695,0.6154973838082024,0.9209736002025557
ENSMUSG00000000149,-0.5665543466127035,0.003604008011441713,0.08908790700364128
ENSMUSG00000000154,0.5079166065900801,0.2429100532162769,0.7390867599173359
ENSMUSG00000000157,0.471599113431151,0.45487312921463185,0.8686666114073206
ENSMUSG00000000159,0.5293879697344905,0.05990023309859275,0.4464706659884395
ENSMUSG00000000167,-0.0297588644816127,0.9645610588204151,0.9940932986460279
ENSMUSG00000000168,-0.20221636453205297,0.3019859576395729,0.7929031012143279
ENSMUSG00000000171,0.4211535380670372,0.029674963854064925,0.32424947415410205
ENSMUSG00000000182,-0.7263847876965988,0.8843568514279219,
ENSMUSG00000000183,,,
