gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
ENSMUSG00000000001,-0.28030444987850295,0.14122502798355382,0.4534732772278431,0.08170869749793183,0.6489580462151514,0.8989827365457448,-0.10423535774156442,0.469066836835791,0.9999068176988547
ENSMUSG00000000056,0.02410575533816744,0.9019609155816449,0.9707065661459255,0.05051875781768608,0.8008304286133989,0.9555877982291372,-0.043247452657288854,0.7663782421768724,0.9999068176988547
ENSMUSG00000000058,0.5185046025025077,0.003654071822816101,0.04753308280405829,-0.2503372651150248,0.1961936618242257,0.6211127528603203,-0.10129761131293057,0.43628838431622907,0.9999068176988547
ENSMUSG00000000078,0.11670285839670214,0.5951412648076344,0.8575578632235679,-0.044379094620887044,0.8178973238840177,0.9589269352361756,0.13013192388133593,0.46381144550674314,0.9999068176988547
ENSMUSG00000000085,0.14101347863497835,0.45404817130474817,0.7732256933236833,0.365836400536535,0.044956123354705155,0.3514978840557881,0.023591011882559475,0.8636847801994746,0.9999068176988547
ENSMUSG00000000088,0.23390989951556174,0.24544695120711102,0.6014180045289573,-0.4846132584392706,0.028706647626886447,0.2828015036698948,0.033758276544839774,0.859280709041256,0.9999068176988547
ENSMUSG00000000094,0.5802143712206032,0.006670401383998148,0.07203119741103753,-0.21298807314164522,0.4159624989053837,0.7903185251996858,-0.12972774007634097,0.5151697271541444,0.9999068176988547
ENSMUSG00000000127,0.09532278865287397,0.5535785348193238,0.8338698546539424,-0.014641279891290233,0.9373905925307098,0.9897359822108467,-0.10361676285639919,0.4585679024657906,0.9999068176988547
ENSMUSG00000000131,-0.06682461705478221,0.6928226947317588,0.8951137575292337,0.5831385714064794,0.0014659882734511219,0.05782426194923787,-0.19664773396929264,0.1829923163549152,0.9999068176988547
ENSMUSG00000000134,-0.059419114935181726,0.7207377905697163,0.9068756589083917,0.2426301967574421,0.21767414354885928,0.6474947301947791,-0.2752143071761938,0.062440188074026876,0.9999068176988547
ENSMUSG00000000142,0.7852565161554677,0.0002578870174670794,0.006687247890437458,-0.12142134170141422,0.6285489985876695,0.8924774749345219,0.011003130457137376,0.9395186962011535,0.9999068176988547
ENSMUSG00000000149,-0.3123667790562081,0.12792375027160638,0.4305819485017392,0.6008536551633133,0.002248143944708095,0.07547534783622009,-0.003541319807497074,0.9829560897290174,0.9999068176988547
ENSMUSG00000000159,0.43006380102961894,0.041820097135925,0.23715258082410767,-0.5033110066501226,0.040112086452269775,0.334527012257279,0.09652870007360623,0.6010322367155989,0.9999068176988547
ENSMUSG00000000168,-0.1969715906639836,0.30571042362815337,0.6588779917223713,0.23460084284746377,0.2085626515571285,0.6359694968041154,0.08686352377010527,0.5693178924457964,0.9999068176988547
ENSMUSG00000000171,-0.051391190133184446,0.7757799854952824,0.9242280788916045,-0.3873889385177034,0.03936282281015799,0.33149671366593836,0.18059230297762807,0.31555797024832,0.9999068176988547
ENSMUSG00000000184,-0.44685224196188983,0.02217224275196937,0.15681238378156087,0.01604435074389609,0.9437600698410016,0.9906597555927743,0.0620944089638595,0.7056446911677916,0.9999068176988547
ENSMUSG00000000194,0.1590741433166496,0.3978592119283265,0.7350504082190557,0.18774797213051583,0.3606716876514323,0.7577151602585155,-0.014930944408188453,0.9149092256934148,0.9999068176988547
ENSMUSG00000000266,0.200117682192153,0.3081626567984972,0.6610169519123423,-0.049844255379515,0.7987862012337037,0.9553552168529956,0.009424162784325469,0.9485713673764788,0.9999068176988547
ENSMUSG00000000275,0.10620845548348644,0.715362248060768,0.9051661421176194,0.29648451127496517,0.175096070012436,0.5994209637098287,0.09028215069059073,0.6360611583473599,0.9999068176988547
ENSMUSG00000000276,0.24180229283217747,0.17164487922431215,0.5028155269138807,0.08796580386957248,0.6978304011921712,0.9171925929304107,-0.08576009291072387,0.5478150289154173,0.9999068176988547
ENSMUSG00000000278,-0.5647339584682048,0.006830693897197681,0.07306154680001264,0.2121344292907537,0.3154511211700044,0.7239769627287577,0.0021498944989249524,0.9897694478094844,0.9999068176988547
ENSMUSG00000000282,0.0966199125767381,0.7402282136210239,0.9140380651589177,0.25179541280191975,0.2744559982073983,0.6952892621135799,0.16890012431850362,0.3313800270148015,0.9999068176988547
ENSMUSG00000000295,0.05273875275149088,0.78035715806216,0.9271372233615686,-0.013500973723733952,0.9664382701550567,0.9952777556748765,0.009844239791490517,0.967057508612016,0.9999068176988547
ENSMUSG00000000296,1.020446200645984,0.0021390873721020545,0.032679119678838166,-0.42904712560745273,0.04365318614836709,0.3461846739226203,-0.2835115417464178,0.634518766228636,0.9999068176988547
ENSMUSG00000000317,-0.5338979498845638,0.016487526014006354,0.1303622543314063,-0.0735416778277444,0.8055982538261295,0.9575747553424548,-0.1090995959430376,0.5034276532886941,0.9999068176988547
ENSMUSG00000000320,1.00830474673722,1.0166263315664424e-05,0.0005503488048813471,-0.6482553210612293,0.0010050985940427094,0.04652944449427657,0.006461466002525235,0.9748153554880483,0.9999068176988547
ENSMUSG00000000326,-0.012501881715210428,0.949094033699572,0.9840161766259566,-0.13467325552768405,0.5340678861366572,0.8555488660842306,0.1487303848999315,0.33305669133109006,0.9999068176988547
ENSMUSG00000000339,-0.2599966028728074,0.16293814662776684,0.48768964060212205,-0.219876266322365,0.2735322689345282,0.6945636460338226,-0.07768631168833164,0.6658768174010327,0.9999068176988547
ENSMUSG00000000340,-0.5687464777652128,0.0147995346583561,0.12216202273489125,-0.041497148495837806,0.8560975539856848,0.9720470937137968,-0.0641112821831548,0.7603144053461794,0.9999068176988547
ENSMUSG00000000346,0.03955957080927543,0.828858621550199,0.9480401209634677,-0.09419621829331092,0.6073455903227785,0.885266432852289,-0.05544298053588541,0.6979678917048289,0.9999068176988547
ENSMUSG00000000374,0.02605963298258311,0.8941681957554092,0.9679811948913519,0.18340242257009653,0.35843910212186825,0.7566423081805885,0.13825439176617488,0.370963515521589,0.9999068176988547
ENSMUSG00000000378,0.06768663204700358,0.6846291071299473,0.8929403129558858,-0.24381832782063856,0.2035977624202091,0.6323046485735766,0.08030200457133999,0.5920932606178271,0.9999068176988547
ENSMUSG00000000384,-0.3569392321941552,0.07014641868016998,0.3150793267554302,-0.20729357441022575,0.3456581320142349,0.7520504381328995,0.059498372033710764,0.739297835868159,0.9999068176988547
ENSMUSG00000000399,-0.12488036520668745,0.5131163855559026,0.8136146150039635,-0.17759000780339268,0.404625101658313,0.7854577420478386,0.08546594177803522,0.6120377503050134,0.9999068176988547
ENSMUSG00000000416,0.09064884224409439,0.6259747310931555,0.8662616724456758,0.5759262655685363,0.010619935854020452,0.18004983352507042,-0.2427946764303276,0.10807444086186964,0.9999068176988547
