,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
0,Gnai3,-0.2803044498785029,0.1412250279835538,0.4534732772278431,0.0817086974979318,0.6489580462151514,0.8989827365457448,-0.1042353577415644,0.469066836835791,0.9999068176988548
1,Narf,0.0241057553381674,0.9019609155816448,0.9707065661459257,0.050518757817686,0.8008304286133989,0.9555877982291372,-0.0432474526572888,0.7663782421768724,0.9999068176988548
2,Cav2,0.5185046025025077,0.0036540718228161,0.0475330828040582,-0.2503372651150248,0.1961936618242257,0.6211127528603203,-0.1012976113129305,0.436288384316229,0.9999068176988548
3,Klf6,0.1167028583967021,0.5951412648076344,0.8575578632235679,-0.044379094620887,0.8178973238840177,0.9589269352361756,0.1301319238813359,0.4638114455067431,0.9999068176988548
4,Scmh1,0.1410134786349783,0.4540481713047481,0.7732256933236833,0.365836400536535,0.0449561233547051,0.3514978840557881,0.0235910118825594,0.8636847801994746,0.9999068176988548
5,Cox5a,0.2339098995155617,0.245446951207111,0.6014180045289573,-0.4846132584392706,0.0287066476268864,0.2828015036698948,0.0337582765448397,0.859280709041256,0.9999068176988548
6,Tbx4,0.5802143712206032,0.0066704013839981,0.0720311974110375,-0.2129880731416452,0.4159624989053837,0.7903185251996858,-0.1297277400763409,0.5151697271541444,0.9999068176988548
7,Fer,0.0953227886528739,0.5535785348193238,0.8338698546539424,-0.0146412798912902,0.9373905925307098,0.9897359822108468,-0.1036167628563991,0.4585679024657906,0.9999068176988548
8,Xpo6,-0.0668246170547822,0.6928226947317588,0.8951137575292337,0.5831385714064794,0.0014659882734511,0.0578242619492378,-0.1966477339692926,0.1829923163549152,0.9999068176988548
9,Tfe3,-0.0594191149351817,0.7207377905697163,0.9068756589083916,0.2426301967574421,0.2176741435488592,0.6474947301947791,-0.2752143071761938,0.0624401880740268,0.9999068176988548
10,Axin2,0.7852565161554677,0.000257887017467,0.0066872478904374,-0.1214213417014142,0.6285489985876695,0.8924774749345219,0.0110031304571373,0.9395186962011536,0.9999068176988548
11,Gna12,-0.3123667790562081,0.1279237502716063,0.4305819485017392,0.6008536551633133,0.002248143944708,0.07547534783622,-0.003541319807497,0.9829560897290174,0.9999068176988548
