,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
0,Gnai3,-0.2730190317642736,0.1405425581290403,0.507674443209659,-0.0490615201838426,0.7860523424075334,0.96523500145127,-0.1230831572806624,0.3826025720066296,0.9999543473702648
1,Pbsn,,,,,,,,,
2,Cdc45,-0.0621198850404721,0.8061529792536801,0.9501602489145354,-0.2651316433769382,0.437850218098026,0.863043745669535,0.3817686637980288,0.148878682612633,0.9999543473702648
3,H19,-5.061059804691074,4.206555068093359e-05,0.0016308693524293,-6.411732107887123,3.519938771851343e-05,0.0028099882796708,-2.9503331388864957,0.4412636073412214,0.9999543473702648
4,Scml2,0.0409857318503237,0.9588652378521118,,-0.8326135994169078,0.4460641403577846,,1.0887919068694112,0.4420967007428669,0.9999543473702648
5,Apoh,-0.9504705610533656,0.8299662066911748,,3.261925576637556,0.480015552908712,,-1.5668918297567054,0.7498068959138317,0.9999543473702648
6,Narf,0.0290686924895001,0.8834535704593488,0.97222667038856,-0.0196801428296824,0.9285075661356738,0.988333936653731,-0.0607962634365832,0.6940331519585454,0.9999543473702648
7,Cav2,0.5245883281007135,0.0028618736982368,0.0431624665737029,0.2825391541646469,0.1587017863991707,0.6508461671603814,-0.1195697537859494,0.344486401826116,0.9999543473702648
8,Klf6,0.1245223536876018,0.5610190952183182,0.8678059696646447,0.0748589569108684,0.6837252040453246,0.9413383758267972,0.1105393475301522,0.5208945818169345,0.9999543473702648
9,Scmh1,0.1473015265477565,0.430479763357643,0.7999745250846536,-0.3336429974692991,0.0730909812736974,0.4898101584529568,0.0055708247300135,0.9676336921878846,0.9999543473702648
10,Cox5a,0.240282432237409,0.281804989338279,0.6866511717305567,0.5225668867325804,0.0318399887574381,0.3364895277801369,0.0168172082651429,0.9369754325681574,0.9999543473702648
11,Tbx2,-0.1187343255497466,0.9108491476600682,0.981391830855224,-0.3402331062827738,0.3831022493645117,0.8396265843988812,0.6464070505785862,0.0139606054043151,0.9999543473702648
12,Tbx4,0.5856986629973893,0.0134684246933203,0.1291255719786598,0.241640492342391,0.4250830237113578,0.859229262174933,-0.1460425278077773,0.5195832706996172,0.9999543473702648
13,Zfy2,,,,,,,,,
14,Ngfr,0.9716654658384426,0.2627228477475758,,-0.2601828430685227,0.7936907037610971,,2.398113567201341,0.0365729582265298,0.9999543473702648
15,Wnt3,0.715746248154254,0.6936246700535057,,-0.3091522021874853,0.8482681789279126,,-2.2653514946983218,0.3548502506187134,0.9999543473702648
16,Wnt9a,-0.5008517671207571,0.4657408917225901,0.8206381600521544,-0.2530011515416214,0.7702446774309772,0.9634732710729196,-0.6046848442811894,0.4569127657253328,0.9999543473702648
17,Fer,0.1015252277542116,0.536255197895015,0.8570803287731863,0.0463414010302186,0.816258279821935,0.9705053546474104,-0.1217391016613755,0.3914002975968846,0.9999543473702648
18,Xpo6,-0.0614488326193154,0.715293580526099,0.9237721797508294,-0.549606935255005,0.0037278190969419,0.0906151567175132,-0.2143896251871219,0.1554614114735044,0.9999543473702648
19,Tfe3,-0.0535464231408648,0.7567712180956511,0.93412347283767,-0.2108456518595015,0.3349643878917215,0.8103820037512007,-0.2923213101999917,0.058596119618311,0.9999543473702648
20,Axin2,0.7896457793000167,0.0002250321919199,0.006284736490407,0.155338030740931,0.5315462142274525,0.8970034242403666,-0.005703369763861,0.9687518281930656,0.9999543473702648
21,Brat1,0.6029253982788126,0.0212746756482575,0.1742306308355636,0.1762967348971169,0.6154973838082024,0.9209736002025556,-0.4439363833723632,0.1500505972644799,0.9999543473702648
22,Gna12,-0.3073242052059693,0.1291578399922627,0.4880123282825527,-0.5665543466127035,0.0036040080114417,0.0890879070036412,-0.0206236069998788,0.9043159449834468,0.9999543473702648
23,Slc22a18,0.5883546551441856,0.1911616977671627,0.5877675177548517,0.5079166065900801,0.2429100532162769,0.7390867599173359,-0.4909971791060986,0.2536695915646575,0.9999543473702648
24,Itgb2l,0.3144543123201189,0.4545356309497074,0.8146681319484383,0.471599113431151,0.4548731292146318,0.8686666114073206,0.1359106614539532,0.8225986617328472,0.9999543473702648
25,Igsf5,0.4364846550387857,0.0489947117052706,0.2924635798309981,0.5293879697344905,0.0599002330985927,0.4464706659884395,0.0800122344423669,0.6992626325686044,0.9999543473702648
26,Pih1d2,0.6914292512361443,0.133364558627638,0.4953061812882666,-0.0297588644816127,0.9645610588204152,0.994093298646028,0.3176674667428115,0.5404432175166116,0.9999543473702648
27,Dlat,-0.1898062758241395,0.3182511904324938,0.7197065800474001,-0.2022163645320529,0.3019859576395729,0.7929031012143279,0.0699543847773221,0.6592077724743135,0.9999543473702648
28,Sdhd,-0.0448289794636277,0.804965383833891,0.9501125334155074,0.4211535380670372,0.0296749638540649,0.324249474154102,0.1643682029799068,0.3742321101954268,0.9999543473702648
29,Fgf23,-0.950470561053366,0.8299662066911748,,-0.7263847876965988,0.8843568514279219,,3.541919649188665,0.3392298583406476,0.9999543473702648
30,Fgf6,,,,,,,,,
31,Ccnd2,-0.4390445218860191,0.0238680633173828,0.1859845819889317,0.0087562240656677,0.9710915753633956,0.9944847603423778,0.0447890544727593,0.7839431827267456,0.9999543473702648
32,Gpr107,0.1648004411459859,0.3835234213597164,0.768116657445348,-0.1578035183707836,0.4800192212551474,0.8804153955245041,-0.0327814750978703,0.8210991327975503,0.9999543473702648
33,Nalcn,-0.8548924927159365,0.3018592987965791,0.7037315047990925,0.1021457914344862,0.8754875047120025,0.9806568934045784,-0.1812509861604486,0.8546123613224934,0.9999543473702648
34,Btbd17,3.4552653751011206,0.2872175963067894,,-3.3632730101990136,0.363063739180535,,,,
35,Slfn4,-2.173882392075736,0.0218824472511142,0.1779258534331102,-1.0331876322777478,0.5956945813848875,,-2.0786411799209064,0.1830222861670143,0.9999543473702648
36,Th,0.6433359996741594,0.5565221545833323,,1.0984213228526547,0.438905103734757,,-0.214931107562278,0.9147677863701622,0.9999543473702648
37,Ins2,3.886082145037901,0.2427415364897334,,2.300907020575453,0.5025119333756594,,3.2797814090483044,0.4052430438477143,0.9999543473702648
38,Scnn1g,,,,,,,,,
39,Drp2,0.050159554598513,0.9802008057209536,,0.1966721444631317,0.9197829350077606,,-1.36026545597964,0.5247095718642927,0.9999543473702648
40,Tspan32,-0.3392725505462944,0.6117707361187525,0.8876724754825948,-0.0346937982870792,0.9741011777052706,,-0.2490647504646868,0.7525796186803011,0.9999543473702648
41,Lhx2,-0.3166184138391706,0.8720345992731725,,0.1098113291038472,0.9501792126411512,,0.1461906923543812,0.9490658972881768,0.9999543473702648
42,Clec2g,-0.3572932858440946,0.8762666395546281,,-0.1888513710225433,0.961748179044204,,-1.187406269055726,0.6932200886714908,0.9999543473702648
43,Gmpr,-0.1818667313897453,0.5055793201544211,0.8425686203289118,0.3431436144959788,0.2183888039656778,0.712533805834154,-0.0672020751752107,0.8232679439115086,0.9999543473702648
44,Glra1,0.3077755137616506,0.6152905151595931,0.8876724754825948,-0.0610704176335089,0.9400387377123272,0.989796688326662,0.8012503140200071,0.1782668299098511,0.9999543473702648
